id,name,description,price,stock_quantity,category,image_url,created_at,updated_at,variants
70569,Myrtillocactus Geometrizans,"Myrtillocactus Geometrizans

Cierge arborescent bleuté

Résistance gel -4°

1 taille disponible 60cm très ramifié

Multiplication par bouturage

&nbsp;",118.0,1,Cactus,"https://www.atypic-cactus.com/wp-content/uploads/2023/04/IMG_6170.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/04/IMG_6374.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70615,Pachycereus Pringlei ramifié,"Pachycereus Pringlei ramifié

Sujet exceptionnel âgé de 20 ans, avec bras",1700.0,1,"Cactus > Pachycereus, Sujets exceptionnels",https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_0423_02.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70644,Aloe Spinosissima,"Aloe Spinosissima

De taille moyenne poussant en groupe et se multipliant par rejet. Feuille bleue-vert, non piquante

Hampe florale de 30 cm de couleur rouge

Résistant au gel -5°

Pot diam 21 cm

&nbsp;

&nbsp;",14.0,0,Agaves et aloes > Aloes,"https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_1549.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/04/IMG_0679.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70747,Cereus Forbesii Spiralis,"Cereus Forbesii Spiralis

Cactus de forme spiralée, très prisé par tous les amateurs de cactus, sa spirale peut changer de sens.

En pleine terre, ce cactus se ramifie et peut atteindre jusqu'à 4 mètres de hauteur. Il se plaira mieux en pleine terre surtout dans les régions méditerranéennes, plantés dans des rocailles et talus de terre drainée. Il tend à pousser de manière ramifiée, donnant un aspect spectaculaire à ce cactus. Mais il peut aussi être planté dans des pots ou jardinières en extérieur, et en intérieur à condition d'avoir un ensoleillement suffisant. Sa floraison est comparable au Cereus Peruvianus, ornée de grande fleur blanche.

Multiplication en bouturage

Arrosage de juin à fin août, une fois tous les 10 jours

Résistance gel -6°

Hauteur plante 30/40cm

&nbsp;",48.0,0,Cactus > Cereus,"https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0928.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0929.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0934.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70758,Cycas Revoluta,"Le Cycas revoluta, appelé aussi sagoutier, sagou du Japon, cycas du Japon.

Taille de la plante 1M50 avec des rejets, de superbe qualité

Sujet vendu en pot, bien enraciné, à venir chercher sur place",580.0,0,Sujets exceptionnels,https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0964.jpg,2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70780,Agave Striata,"Agave Striata

Originaire du Mexique, agave de taille adulte aux formes originales, idéal pour des réalisations extérieure,

Résistance gel -12°, contrairement à la majorité des agaves la floraison n'entraîne pas la mort de la plante, elle ne rejette pas mais peut se bouturer facilement en séparant les rosettes d'un même plant

Pot 25 litres

&nbsp;",68.0,0,"Agaves et aloes > Agaves, Agaves et aloes","https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0980.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/06/IMG_0979.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70800,Agave Americana Medio Picta Alba,"Agave Americana Medio Picta Alba

Agave variegata de l'agave americana, de taille moyenne, plante parfaite pour les rocailles

Elle supporte des substrats différents, et il est inutile de l'arroser en pleine terre.

Résistance froid -10°

Livré en pot 25L",88.0,0,Agaves et aloes > Agaves,"https://www.atypic-cactus.com/wp-content/uploads/2022/01/IMG_2077.jpg, https://www.atypic-cactus.com/wp-content/uploads/2022/01/IMG_2093.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
70939,Pachycereus Pringlei Géant,"Pachycereus Pringlei Géant

Grand Cactus Cierge pouvant atteindre 20M, le géant des cactus aimé pour sa couleur grise bleutée, et ses côtés noirs arborées d'épines.

Plus sensible au gel que les Trichocereus mais résiste au température inférieure -5°/-6°. Le cactus incontournable dans les régions méditerranéennes.

Idéal pour la décoration intérieure et extérieure. De taille adulte, il nécessite peu d'arrosage.

&nbsp;",,1,Sujets exceptionnels,"https://www.atypic-cactus.com/wp-content/uploads/2020/11/IMG_1804.jpg, https://www.atypic-cactus.com/wp-content/uploads/2020/11/IMG_1833_01.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71379,Opuntia Anacantha,"Opuntia Anacantha

Originaire de Bolivie, cet opuntia d'un vert lumineux est très intéressant pour sa résistance au gel <strong>-12°</strong> en sol sec.

Planté en talus ou dans un sol drainant, il est très apprécié par le fait qu'il soit dépourvu d'épines.

Il peut monter jusqu'à 1M70, très arbustif.

Plante vendu en pot de 10L, très ramifié.

Hauteur plante 50/60 cm

&nbsp;",78.0,0,Cactus > Opuntia,"https://www.atypic-cactus.com/wp-content/uploads/2021/12/IMG_3212.jpg, https://www.atypic-cactus.com/wp-content/uploads/2021/12/IMG_3337.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
71516,"Stenocereus Marginatus V. Cristata ""rare""","Stenocereus Marginatus V. Cristata <strong>""RARE"" en pot</strong>

Cactus Cristé de collection très belle qualité de cristation, idéal pour une décoration intérieure

Résistance -2°, substrat drainant, exposition soleil mi-ombre,

Vendu dans un pot en grès 25 cm rempoté dans du terreau cactus",120.0,1,Sujets exceptionnels,"https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_E6366.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_6354.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_6331.jpg, https://www.atypic-cactus.com/wp-content/uploads/2023/02/IMG_6446.jpg",2025-06-07T16:23:38.568938,2025-06-07T16:23:38.568947,
